,Images,balance
2461,medi-94-e1561-g006,0
2462,1752-1947-1-22-1,0
2463,10.1177_2047981614546794-fig2,0
2464,crj-01-220-g001,0
2465,JGID-3-306-g006,0
2466,jkms-25-1077-g003,0
2467,JISP-17-235-g005,0
2468,JNSBM-4-465-g004,0
2469,1742-6413-2-21-1,0
2470,IJRI-18-80-g014,0
2471,LI-32-192-g003,0
2472,kjim-14-2-82-13f1,0
2473,kjhbps-16-37-g004,0
2474,1477-7819-8-101-3,0
2475,cro-0008-0001-g02,0
2476,1749-8090-5-35-2,0
2477,LI-25-28-g002,0
2478,JRMS-18-1114-g001,0
2479,1471-2377-13-6-1,0
2480,IJEM-15-65-g001,0
2481,SNI-4-58-g001,0
2482,Tanaffos-11-058-g002,0
2483,jls0021330190002,0
2484,Tanaffos-13-058-g003,0
2485,ymj-46-851-g001,0
2486,jkns-57-379-g001,0
2487,cureus-0007-000000000308-i02,0
2488,JETS-02-48-g002,0
2489,jocmr-06-215-g001,0
2490,JNRP-4-145-g001,0
2491,1477-7819-9-35-2,0
2492,LI-29-81-g002,0
2493,JETS-5-360-g004,0
2494,jls9991433550002,0
2495,1757-1626-2-9129-1,0
2496,IJRI-18-63-g003,0
2497,rjv10604,0
2498,SNI-4-58-g001,0
2499,rjt04601,0
2500,1757-1626-0002-0000006413-002,0
2501,crj-01-170-g002,0
2502,JMAS-03-14-g001,0
2503,iranjradiol-11-11260-g004,0
2504,12957_2015_617_Fig1_HTML,0
2505,JOMFP-17-436-g004,0
2506,IJRI-18-230-g001,0
2507,AnnGastroenterol-26-175-g001,0
2508,crg0005-0578-f01,0
2509,IJRI-18-80-g020,0
2510,rjt12403,0
2511,1757-1626-0002-0000008305-003,0
2512,ATM-05-67-g011,0
2513,AJNS-9-242b-g003,0
2514,2036-7902-4-9-4,0
2515,cro0004-0576-f04,0
2516,ymj-51-475-g001,0
2517,kjhbps-16-37-g005,0
2518,AMS-8-19927-g001,0
2519,1752-1947-5-167-3,0
2520,0392-100X-31-47-g002,0
2521,jkss-80-362-g001,0
2522,jrm-6-032-g003,0
2523,1757-1626-0002-0000007459-001,0
2524,SJG-14-28-g001,0
2525,cro-0006-0472-g01,0
2526,1754-9493-5-18-1,0
2527,12957_2015_654_Fig3_HTML,0
2528,JFMPC-1-157-g003,0
2529,1749-8090-6-75-1,0
2530,IJPsyM-34-181-g002,0
2531,crj-02-016-g001,0
2532,TODENTJ-6-1_F1,0
2533,Tanaffos-11-058-g001,0
2534,1477-7800-1-8-1,0
2535,1752-1947-5-581-2,0
2536,IJEM-17-540-g001,0
2537,TONIJ-6-13_F1,0
2538,crg-0006-0387-g01,0
2539,JETS-5-243-g002,0
2540,IJMPO-34-132-g002,0
2541,sfp091fig1,0
2542,1752-1947-0003-0000007227-2,0
2543,1746-1596-5-62-2,0
2544,JNRP-4-145-g001,0
2545,crg0005-0463-f01,0
2546,1471-2490-6-18-1,0
2547,APC-5-44-g006,0
2548,sfu07501,0
2549,0392-100X-30-209-g003,0
2550,1757-1626-0002-0000006413-002,0
2551,jkms-19-887-g002,0
2552,ijo-27-387-g002,0
2553,PAMJ-20-89-g001,0
2554,jkss-80-362-g001,0
2555,TODENTJ-6-1_F1,0
2556,JCVJS-2-38-g001,0
2557,1749-7922-6-10-1,0
2558,AnnGastroenterol-27-76-g001,0
2559,10.1177_2047981614552217-fig7,0
2560,OJO-2-141-g003,0
2561,ijo-27-395-g003,0
2562,cmj-48-179-g002,0
2563,rjt01902,0
2564,rjt05101,0
2565,ccr30002-0045-f3,0
2566,jrm-6-032-g003,0
2567,jls0041128100001,0
2568,1749-7922-6-32-3,0
2569,hepatmon-12-09-6143-g001,0
2570,IJU-26-115-g002,0
2571,1749-7922-6-45-1,0
2572,jkms-26-1339-g002,0
2573,ASM-31-294-g006,0
2574,PAMJ-17-281-g003,0
2575,cln-65-10-953-g005,0
2576,SNI-4-144-g007,0
2577,JRMS-18-453-g004,0
2578,CCD-2-234-g003,0
2579,can-7-316fig4,0
2580,1757-1626-2-78-1,0
2581,jkms-22-159-g001,0
2582,crg0002-0279-f01,0
2583,asj-5-130-g002,0
1254,PAMJ-17-158-g002,1
1255,AJNS-10-226-g004,1
1256,1746-160X-9-34-2,1
1257,JNRP-5-414-g002,1
1258,1477-7819-8-45-2,1
1259,JNRP-5-244-g008,1
1260,1749-8090-4-68-2,1
1261,SHORTS-10-08902,1
1262,cro0004-0106-f03,1
1263,ymj-52-1044-g001,1
1264,1752-1947-5-28-4,1
1265,1752-1947-2-255-1,1
1266,IJA-57-76-g001,1
1267,AIAN-13-136-g001,1
1268,1746-160X-9-9-4,1
1269,40064_2015_1232_Fig3_HTML,1
1270,JHRS-5-285-g002,1
1271,fonc-04-00136-g001,1
1272,JFMPC-3-443-g002,1
1273,MEAJO-19-340-g003,1
1274,IJO-58-238-g002,1
1275,1757-1626-1-203-2,1
1276,JRMS-18-89-g007,1
1277,biij-08-e6-g08,1
1278,1752-1947-4-223-5,1
1279,omv05404,1
1280,1752-1947-7-179-1,1
1281,1757-1626-1-203-2,1
1282,JNRP-3-60-g001,1
1283,JMAS-01-133-g002,1
1284,2049-6958-7-37-4,1
1285,ccr30001-0054-f1,1
1286,LJM-2-099-g001,1
1287,13256_2014_3041_Fig2_HTML,1
1288,cro0004-0082-f01,1
1289,ASJSM-4-158-g003,1
1290,PAMJ-17-158-g002,1
1291,AIAN-16-425-g003,1
1292,jkss-81-S51-g002,1
1293,JNRP-1-39-g002,1
1294,1757-1626-0002-0000008485-002,1
1295,IJU-28-322-g002,1
1296,SNI-4-79-g004,1
1297,1752-1947-5-580-2,1
1298,kjpain-26-392-g001,1
1299,PAMJ-18-284-g004,1
1300,kjped-56-42-g001,1
1301,13019_2015_283_Fig1_HTML,1
1302,asj-8-84-g003,1
1303,MEAJO-15-113-g002,1
1304,kjim-15-1-93-17f2,1
1305,kjped-53-931-g001,1
1306,1749-799X-8-14-4,1
1307,1752-1947-2-387-2,1
1308,1752-1947-5-296-4,1
1309,12891_2015_667_Fig3_HTML,1
1310,aps-39-678-g002,1
1311,40064_2015_1231_Fig2_HTML,1
1312,JNRP-3-68-g002,1
1313,JNRP-2-93-g002,1
1314,AIAN-16-720-g002,1
1315,kjpathol-46-187-g001,1
1316,1752-1947-4-308-1,1
1317,AMS-1-74-g005,1
1318,can-7-322fig3,1
1319,JPN-7-61-g001,1
1320,SNI-3-127-g013,1
1321,kjhep-17-71-g004,1
1322,JNRP-4-352-g002,1
1323,1749-7221-8-12-1,1
1324,rjv03401,1
1325,JCVJS-6-40-g004,1
1326,AIAN-17-211-g001,1
1327,SNI-01-14-g004,1
1328,1757-1626-0002-0000008305-003,1
1329,IJPsyM-34-273-g001,1
1330,atr-03-04-18178-g005,1
1331,ASJSM-4-158-g002,1
1332,JCAS-01-85-g009,1
1333,jmd-4-2-75-6f1,1
1334,0392-100X-33-350-g003,1
1335,SNI-4-126-g001,1
1336,IJRI-19-222-g002,1
1337,1477-7819-5-8-1,1
1338,IJRI-18-73-g004,1
1339,ijcn-8-001-g004,1
1340,JNSBM-6-226-g003,1
1341,IJA-56-502-g006,1
1342,TOORTHJ-7-338_F3,1
1343,ijmsv07p0248g01,1
1344,AIAN-13-136-g001,1
1345,ASM-30-482-g003,1
1346,AIAN-11-254-g002,1
1347,JPN-6-94-g002,1
1348,SJG-18-290-g002,1
1349,IJO-62-627-g001,1
1350,13256_2014_3041_Fig2_HTML,1
1351,arm-35-949-g001,1
1352,iranjradiol-11-7467-g003,1
1353,IJPS-8-149-g002,1
1354,1472-6815-12-10-2,1
1355,JCAS-01-85-g008,1
1356,1477-7819-10-166-3,1
1357,IJO-43-40-g001,1
1358,PAMJ-21-325-g006,1
1359,1757-1626-2-9358-2,1
1360,JCHIMP-3-20494-g001,1
1361,pjms-30-446-g001,1
1362,kjhep-17-71-g002,1
1363,IJEM-16-509-g002,1
1364,IJEM-17-198-g002,1
1365,1757-1626-1-66-2,1
1366,crn0002-0157-f02,1
1367,PAMJ-09-29-g002,1
1368,IJA-56-502-g006,1
1369,ceo-4-137-g003,1
1370,JCVJS-3-73-g005,1
1371,AIAN-11-254-g002,1
1372,SNI-5-55-g001,1
1373,IJPsyM-34-133-g002,1
1374,JHRS-3-113-g001,1
1375,1746-160X-7-20-2,1
1376,1752-1947-8-367-3,1
1377,omv05402,1
1378,1752-1947-0003-0000007227-3,1
1379,IJO-62-735-g004,1
1380,thnov02p0448g05,1
1381,kjlm-31-49-g001,1
1382,1471-2474-14-S1-A9-2,1
1383,IJO-58-238-g002,1
1384,JPN-6-94-g002,1
1385,ORT-85-438-g006,1
1386,SNI-5-55-g002,1
1387,ijo-27-391-g002,1
1388,asj-5-220-g003,1
1389,bjc2013603f2,1
1390,inj-15-176-g002,1
1391,crg-0009-0200-g01,1
1392,JPN-4-36-g005,1
1393,WIITM-10-25226-g002,1
1394,cln-66-08-1505-g001,1
1395,1752-1947-5-296-5,1
1396,1477-7819-6-34-7,1
1397,OL-08-02-0753-g01,1
1398,rjt10701,1
1399,cpe-13-033-g004,1
1400,1757-1626-0002-0000006857-001,1
1401,can-8-474fig3,1
1402,JPN-6-55-g002,1
1403,crn-0007-0026-g02,1
1404,1752-1947-7-278-1,1
1405,GMS-08-34-g-003,1
1406,WIITM-10-25226-g002,1
1407,IJRI-18-73-g002,1
1408,40164_2014_107_Fig2_HTML,1
1409,10.1177_2042533313518916-fig3,1
1410,AIAN-15-205-g001,1
