,Images,balance
2444,13022_2015_13_Fig2_HTML,0
2445,JCIS-1-54-g004,0
2446,IJRI-23-208-g002,0
2447,kjtcs-44-437-g002,0
2448,JCIS-3-64-g016,0
2449,ASM-30-415-g002,0
2450,1757-1626-2-5-3,0
2451,1755-8166-6-50-1,0
2452,rjv10604,0
2453,LJM-9-25766-g001,0
2454,1757-1626-0002-0000007836-003,0
2455,crg-0008-0067-g01,0
2456,1749-8090-6-76-2,0
2457,1749-7922-9-38-2,0
2458,TODENTJ-6-1_F1,0
2459,IJRI-22-317-g020,0
2460,de-5-305-g2,0
2461,1758-3284-4-35-6,0
2462,JOMFP-15-299-g005,0
2463,TOOPHTJ-5-25_F2B,0
2464,1471-2342-12-2-3,0
2465,medi-94-e406-g001,0
2466,1757-1626-1-259-2,0
2467,IJOrtho-45-181-g007,0
2468,IJRI-22-344-g019,0
2469,IJEM-17-540-g001,0
2470,0392-100X-31-109-g001,0
2471,SJA-6-69-g005,0
2472,IJRI-23-64-g009,0
2473,cro-0007-0164-g02,0
2474,0392-100X-30-209-g002,0
2475,IJRI-23-287-g025,0
2476,13017_2015_6_Fig2_HTML,0
2477,PAMJ-13-60-g001,0
2478,IJCP-08-129f1,0
2479,OL-05-04-1382-g02,0
2480,1757-1626-0002-0000007143-003,0
2481,12957_2014_1751_Fig5_HTML,0
2482,iranjradiol-09-157-g001,0
2483,PAMJ-21-55-g004,0
2484,rjv09902,0
2485,IJRI-24-327-g013,0
2486,1755-8166-6-50-1,0
2487,CEJU-65-00100-g003,0
2488,1477-7819-10-229-1,0
2489,jkns-54-518-g001,0
2490,SHORTS-10-07501,0
2491,1749-7922-6-32-3,0
2492,IJMPO-31-65-g002,0
2493,Tanaffos-11-058-g001,0
2494,PAMJ-21-84-g001,0
2495,UPS-0300-9734-114-249-g004,0
2496,1757-1626-2-9382-2,0
2497,IJPharm-46-443-g003,0
2498,DRJ-9-32-g010,0
2499,1756-0500-5-602-1,0
2500,1757-1626-1-413-5,0
2501,rjt04601,0
2502,astr-87-340-g004,0
2503,rjv00601,0
2504,kjim-6-1-38-7f4,0
2505,IJRI-23-15-g002,0
2506,biij-02-e20-g01,0
2507,1757-1626-1-143-1,0
2508,kjs-9-137-g004,0
2509,crj-03-031-g001,0
2510,1471-2334-11-103-2,0
2511,LJM-4-160-g002,0
2512,1757-1626-0002-0000007836-002,0
2513,JOMFP-18-271-g005,0
2514,PAMJ-20-89-g001,0
2515,IJEM-17-329-g005,0
2516,1757-1626-0002-0000006416-001,0
2517,1471-2490-6-18-1,0
2518,LI-25-31-g001,0
2519,IJRI-22-317-g004,0
2520,kjim-20-72-g002,0
2521,1757-1626-2-9105-2,0
2522,crg0005-0378-f04,0
2523,PAMJ-17-269-g002,0
2524,cmh-21-295-g004,0
2525,JETS-4-148-g001,0
2526,ASM-30-415-g002,0
2527,PAMJ-14-69-g002,0
2528,jcu-20-60-g003,0
2529,1757-1626-1-401-1,0
2530,1749-8090-6-76-2,0
2531,thnov02p0448g05,0
2532,jkms-19-759-g005,0
2533,crg0005-0344-f02,0
2534,1757-1626-2-9086-3,0
2535,JETS-01-126-g001,0
2536,crj-02-142-g002,0
2537,SHORTS-10-03802,0
2538,gov017f5p,0
2539,UA-4-111-g001,0
2540,SNI-4-96-g003,0
2541,LI-32-192-g002,0
2542,APC-5-95-g003,0
2543,tropmed-82-520-g005,0
2544,1757-1626-0002-0000006463-001,0
2545,1749-7922-4-32-4,0
2546,cro-0006-0472-g01,0
2547,kcj-40-354-g002,0
2548,1757-1626-0002-0000007836-002,0
2549,edmcr-2014-140074-g001,0
2550,13022_2015_13_Fig3_HTML,0
2551,NJS-18-97-g001,0
2552,JOMFP-19-110b-g002,0
2553,1477-7819-6-47-1,0
2554,1757-1626-1-185-1,0
2555,NJMS-1-45-g003,0
2556,1757-1626-1-143-1,0
2557,crg0002-0027-f01,0
2558,JOMFP-18-303-g002,0
2559,rjv06901,0
2560,jkns-54-347-g002,0
2561,cro-0006-0236-g01,0
2562,JCVJS-2-57-g001,0
2563,PAMJ-13-60-g001,0
2564,IJRI-24-339-g021,0
2565,1757-1626-0002-0000009045-002,0
2566,LJM-4-160-g002,0
2567,jkms-21-374-g004,0
2568,IJOrtho-41-91-g005,0
2569,wjem-9-0171f1,0
2570,IJEM-16-962-g004,0
2571,IJSTD-34-35-g005,0
2572,TORJ-5-88_F2,0
2573,IJRI-24-339-g011,0
2574,1477-7819-6-118-1,0
2575,SJG-18-143-g002,0
2576,1757-1626-0002-0000008530-002,0
2577,IJMPO-30-35-g001,0
2578,MIRT-22-103-g1,0
2579,JCIS-1-37-g014,0
2580,13017_2015_6_Fig2_HTML,0
2581,NAJMS-6-545-g002,0
2582,JISP-16-129-g009,0
2583,crg0002-0027-f03,0
1254,SaudiMedJ-35-1305-g003,1
1255,IJRI-18-69-g007,1
1256,IJNL-12-111-g001,1
1257,cro0004-0082-f02,1
1258,crg0005-0583-f01,1
1259,ASJSM-4-158-g001,1
1260,1746-160X-7-20-2,1
1261,IJO-43-412-g004,1
1262,pone.0125006.g004,1
1263,ipej140301-04,1
1264,12893_2015_16_Fig1_HTML,1
1265,12878_2015_29_Fig1_HTML,1
1266,1472-6815-12-6-1,1
1267,AJNS-10-123-g002,1
1268,jmd-4-2-75-6f1,1
1269,aps-40-270-g002,1
1270,IJO-60-225-g004,1
1271,cro-0007-0164-g04,1
1272,IJEM-16-509-g002,1
1273,rju03902,1
1274,IJMPO-34-335-g002,1
1275,asj-5-130-g004,1
1276,pjms-30-446-g001,1
1277,asj-8-516-g002,1
1278,jlm-04-104f1,1
1279,ijcn-8-001-g002,1
1280,kjo-20-139-g003,1
1281,TOORTHJ-6-295_F2,1
1282,JPN-9-42-g001,1
1283,1752-1947-5-166-4,1
1284,SNI-5-55-g002,1
1285,1746-1596-7-183-1,1
1286,JPN-10-188-g004,1
1287,1757-1626-1-203-2,1
1288,asj-6-55-g003,1
1289,1476-7120-7-47-2,1
1290,1758-2555-2-24-1,1
1291,PAMJ-18-284-g003,1
1292,SNI-2-122-g003,1
1293,1752-1947-1-25-2,1
1294,40064_2013_975_Fig2_HTML,1
1295,jkns-57-58-g003,1
1296,JPN-8-120-g001,1
1297,jls0021329970002,1
1298,IPC-6-11-g003,1
1299,IJO-43-40-g001,1
1300,jmd-5-1-28-8f1,1
1301,wjps-1-107-g001,1
1302,SNI-01-14-g004,1
1303,JCHIMP-5-27664-g001,1
1304,OL-05-06-1755-g00,1
1305,1746-160X-9-34-2,1
1306,IJPC-21-72-g003,1
1307,ORT-84-237-g002,1
1308,asj-5-220-g003,1
1309,1477-7819-10-166-3,1
1310,JNRP-2-93-g003,1
1311,JCHIMP-3-20494-g001,1
1312,JSTCR-2-87-g001,1
1313,1752-1947-2-204-1,1
1314,IJRI-19-222-g002,1
1315,JOACP-27-389-g002,1
1316,IJPC-21-72-g003,1
1317,OL-05-05-1491-g03,1
1318,JSTCR-5-92-g002,1
1319,IJO-43-408-g002,1
1320,IJRI-22-195-g032,1
1321,sfp020fig1,1
1322,1752-1947-5-269-1,1
1323,JGID-3-306-g003,1
1324,AJNS-5-19-g007,1
1325,1129-2377-15-S1-C21-1,1
1326,tropmed-92-677-g001,1
1327,mjhid-2-3-e2010027f1,1
1328,1471-2334-13-91-5,1
1329,bjophthalmol-2013-303565f04,1
1330,kjh-45-205-g002,1
1331,1471-2334-12-232-2,1
1332,jkns-51-141-g001,1
1333,crn-0006-0083-g02,1
1334,IJA-54-68-g001,1
1335,1477-7819-5-7-1,1
1336,JPN-5-141-g001,1
1337,JCRPE-2-126-g1,1
1338,SNI-4-126-g002,1
1339,ksrr-27-194-g001,1
1340,JMedLife-06-332-g001,1
1341,1749-7221-8-12-1,1
1342,1477-7819-8-45-2,1
1343,1752-1947-2-236-3,1
1344,1752-1947-8-296-6,1
1345,1757-1626-0002-0000006550-005,1
1346,JPN-7-136-g001,1
1347,IJPsyM-34-133-g002,1
1348,IJABMR-4-122-g003,1
1349,biij-08-e6-g08,1
1350,AMS-10-23428-g006,1
1351,JCHIMP-3-20494-g002,1
1352,40164_2014_107_Fig2_HTML,1
1353,JIAPS-20-116-g004,1
1354,SNI-6-110-g002,1
1355,IJOrtho-49-365-g003,1
1356,ymj-53-236-g001,1
1357,rju12503,1
1358,PAMJ-19-35-g007,1
1359,IJO-42-91-g003,1
1360,1477-7819-12-48-3,1
1361,1758-2555-4-31-3,1
1362,AIAN-14-313-g002,1
1363,IJPsyM-34-273-g001,1
1364,AnnGastroenterol-26-150-g001,1
1365,ijcn-7-053-g004,1
1366,1752-1947-0003-0000007227-3,1
1367,JPN-8-254-g001,1
1368,AIAN-14-127-g003,1
1369,rju03003,1
1370,AIAN-17-478-g002,1
1371,rjt10701,1
1372,JNRP-2-93-g002,1
1373,1752-1947-5-166-5,1
1374,1752-1947-2-123-1,1
1375,jkns-57-58-g003,1
1376,IJNL-12-111-g001,1
1377,cro0004-0082-f01,1
1378,IJA-58-490-g001,1
1379,JMedLife-06-332-g001,1
1380,JOMFP-16-438-g002,1
1381,1746-160X-9-34-2,1
1382,1752-1947-2-236-3,1
1383,SNI-2-18-g003,1
1384,jkns-51-141-g001,1
1385,jkss-81-S59-g002,1
1386,JPN-7-129-g003,1
1387,IJEM-17-538-g003,1
1388,ijms-16-25050-g001,1
1389,1471-2474-14-S1-A9-2,1
1390,omv06401,1
1391,1471-2334-12-232-2,1
1392,JNRP-1-109-g004,1
1393,1472-6882-14-114-1,1
1394,IJEM-17-198-g003,1
1395,JCHIMP-3-20494-g002,1
1396,thnov02p0448g05,1
1397,SNI-4-79-g004,1
1398,JNSBM-5-170-g001,1
1399,IJA-57-206-g001,1
1400,omv05405,1
1401,OL-08-02-0753-g01,1
1402,1477-7819-12-48-4,1
1403,1752-1947-2-123-1,1
1404,jkns-53-309-g001,1
1405,PAMJ-20-51-g001,1
1406,JPN-7-120-g001,1
1407,SNI-2-122-g003,1
1408,omv06401,1
1409,1757-1626-1-203-2,1
1410,IJO-43-40-g001,1
