53	13017_2015_6_Fig1_HTML	in which lung is the consolidation seen?	right
54	kjim-19-1-62-12f1	what is the longest diameter of the mass?	12 cm
55	1758-3284-3-37-4	asides from the tumor, what does the ct image show?	bony destruction of left orbital roof and lateral orbital wall
56	1758-3284-3-37-4	what does the coronal ct scan reveal?	large tumor in the left orbit
57	crn0003-0252-f01	what does flair imaging and diffusion weighted imaging show?	acute lesions in both parietal lobes and the left frontal lobe
58	JIAPS-15-104-g001	what does the ct scan show?	well defined duplication cysts
59	JCIS-5-18-g012	what does the t1 weighted axial mri image show?	a single intramural fibroid
60	kjs-9-300-g001	what does this the lumbar spine mri show?	multiple spinal stenosis
61	ic-46-261-g001	what does the ct on abdomen show?	air bubble
62	SNI-4-144-g008	what kind of ct image is this?	sagittal reconstruction
63	JNSBM-3-90-g003	where does ct scan of brain show symmetric calcification?	in the posterior fossa
64	ASJSM-1-223-g002	what does ct scan of the thorax show?	thickened pleura
65	1757-1626-1-416-2	what does the sagittal mri of the cervical spine show?	abnormal prevertebral tissue formatted by the osteophytes
66	1757-1626-3-57-2	what is this ct scan showing distended?	small bowel
67	1752-1947-0003-0000008496-4	what does the ct scan of the sinuses demonstrate?	large septal perforation
68	rt-2013-3-e33-g003	what did the lesion erode?	the anterior bone cortex of left femur
69	IJNL-12-069-g001	how is the abnormality in the spinal cord shown?	low signal intensity
70	IJRI-20-135-g003	what is the sac-like organ show in this image?	gall bladder
71	SAS-1-2007-0114-CR-g004	what does the MRI of the cervical spine show?	spinal stenosis with dural compression
72	jkms-21-958-g001	what are the hyperintense lesions consistent with?	edema
73	1757-1626-0002-0000006331-001	what does the ct scan of the abdomen show?	a retroperitoneal mass
74	JGID-4-184-g001	who does the mri spine show?	spondylodiscitis
75	IJPC-15-159-g001	what does the mri (axial and sagittal views) demonstrate?	a mass in the right parieto-occipital region
76	gou017f2	what do the plain and contrast ct images show?	enhancing lesion in the pancreas
77	AJNS-6-121-g001	what does the ct scan show?	giant left hemispheric subdural hematoma
78	s12245-014-0040-5-3	what does the reconstructed chest ct demonstrate (arrows)?	massive calcification along the atrioventricular groove
79	fneur-06-00062-g006	what does the mri reveal?	bilateral temporal damage
80	AJNS-8-48-g001	what does the ct scan show?	subcortical hematoma
81	1752-1947-6-43-1	what does the coronal magnetic resonance imaging show?	hyperintense areas in the cerebellar white
82	IJRI-20-202-g001	what does the sagittal t2w mri image of the cervical spine show?	central hyperintensity
83	pntd.0003679.g008	what anatomy is shown in the mri?	hand
84	1757-1626-1-416-1	what does the axial mri of the cervical spine reveal?	ossification of the frontal planes of the vertebral bodies
85	IJRI-20-195-g001	what anatomical structure shows hyperintensity in this axial t2w mri of the brain?	dorsal pons
86	1749-7922-2-34-1	what aneurysm shows leakage of the contrast-enhanced blood?	aneurysm on the right leg
87	jkms-26-951-g003	what does the brain mri show?	diffuse brain atrophy
88	jsls-5-4-313-g01	what does the  ct scan show?	large cyst in the spleen
89	IJU-29-142-g003	what does the contrast enhanced ct scan abdomen and pelvis show?	uterus didelphys
90	crg-0009-0056-g01	how is the pancreas shaped like?	sausage
91	1471-2385-5-2-1	what does the coronal t2 weighted mri image of the right knee show?	a medial meniscal tear
92	SNI-3-37-g001	what does the ct show?	a hyperdense lesion
93	CCR-6-134_F1	what does cardiac mri show?	amyloidosis
94	1757-1626-2-9325-2	what does the abdominal mri show?	an encapsulated mass
95	kjhbps-16-75-g001	what the t2 weighted mri image show (arrow)?	cystic mass
96	rjv03503	what does the axial ct image of the pelvis demonstrate?	intra-mural air within the bowel
97	jmdh-8-109Fig2	what does coronal T1-weighted mri show?	marrow replacement in the distal femur
98	pjms-30-216-g001	what does enhanced ct scan demonstrate?	a right adrenal mass
99	iranjradiol-10-99-g001	where is the lesion located?	the right breast
100	kjim-18-1-45-8f2	is there a lymph node enlargement visible?	no
101	IJCCM-18-453-g001	what condition is visible with hyperintensities in bilateral thalami?	cerebral edema
102	cpe-17-061-g002	what does the mri of the abdomen show?	multiple nodules in the liver
103	1757-1626-0002-0000008176-003	what is seen on the ct (red arrow)?	pericardial drain
104	crg0005-0602-f01	what does the enhanced ct of the abdomen and pelvis show?	a thickened wall and a tumor like lesion in the ileum 
105	IJMR-137-815-g002	what does the ct scan show?	lytic skull lesion and its resolution
106	tropmed-87-381-g001	what does the magnetic resonance imaging show?	marked brain swelling
107	JGID-4-184-g001	what does the mri spine show at multiple levels?	disc prolapse
108	IJPD-23-121-g001	what organ is the mass deviating?	the intestines
109	IDOJ-2-31-g004	what does t2w axial mri image show?	bilateral symmetrical hyperintense lesions in corona radiata
110	1477-7819-6-50-1	what is the size of the mass?	22 cm
111	alm-33-379-g001	what does the magnetic resonance imaging t1 weighted image show?	cellulitis
112	JNRP-1-23-g001	what does the mri brain show obliteration of?	superior saggital sinus
113	fneur-06-00062-g006	are there any signs of ischemic injury in this image?	no
114	IJRI-21-176-g008	what does coronal contrast-enhanced ct scan show?	metastasis in the left lobe of the liver
115	IJCCM-13-163-g002	what does the CT pulmonary angiography scan show?	filling defects in the right lower lobe segmental artery
116	13104_2014_3305_Fig2_HTML	where is the tumor located?	at the trigone
117	kjim-18-1-45-8f2	what does the abdominal ct show?	a well enhanced mass in the tail of the pancreas
118	cro-0007-0039-g01	what is the anatomy in this ct scan?	the lungs
119	Tanaffos-13-043-g002	what is the disease shown in the brain MRI?	Chiari type I malformation
120	rju12901	what does the ct show?	left sub-diaphragmatic and sub-hepatic free fluid
121	JCIS-5-18-g012	what kind of MRI view is this?	axial
122	1752-1947-5-342-2	what does the ct scan show?	intense tracer uptake
123	Tanaffos-10-072-g001	does the ct scan show evidence of a mass or lymphadenopathy?	no
124	JCIS-1-51-g017	does the axial ct show calcification?	no
125	crg-0006-0425-g01	what does ct imaging of the abdomen reveal?	bowel distention
126	UA-5-309-g003	what is seen on the contrast-enhanced CT scan?	thickening of the left lateral wall of the urinary bladder
127	tisb-2-e29431-g1	what does the coronal t2 mri of the brain demonstrate?	bilateral heterotopic nodules
128	IJRI-21-176-g003	what does the axial contrast-enhanced CT scan show?	enhancing mass along the second part of the duodenum
129	SNI-4-144-g008	what does the ct angiogram show?	ruptured mycotic aneurysm
130	HV-13-149-g001	what does the mri show?	ischemic stroke
131	ndtplussfq203f01_ht	where does the MRI peritoneography demonstrate irregularity?	the bladder dome
132	1758-3284-3-37-4	is the tumor associated with skullbase infiltration?	yes
133	cro-0007-0039-g01	what does the ct scan show?	density in bronchus intermedius
134	1758-3284-3-37-3	what other structures are affected by the tumor?	lateral orbital wall and skull base
135	IDOJ-2-31-g003	what does t2w axial mri image show?	bilateral hyperintense lesions in periventricular white matter
136	1757-1626-0002-0000008585-002	where is the tumour located?	in the anterior part of the bladder
137	crg0005-0602-f01	what does the enhanced ct of the abdomen and pelvis show?	dilation of the proximal small intestine
138	1752-1947-5-451-3	where is a soft-tissue mass originating from?	the calcaneus
139	1746-160X-2-28-1	what is are the anatomical structures in the ct scan?	the sinuses
140	pone.0104170.g004	what does the ct show?	subarachnoid hemorrhage
141	IJCCM-13-163-g002	where does the CT pulmonary angiography scan show filling defects (white arrow)?	right lower lobe segmental artery
142	LI-26-130-g002	what does the ct scan show?	 a mass in the right upper lobe
143	2049-6958-8-5-1	where are the lung nodules distributed?	in all lobes
144	kjr-15-655-g001	what does the contrast enhanced ct scan of abdomen show?	lesion in right iliac fossa
145	1752-1947-5-137-2	where are the lesions located (arrows)?	right temporal lobe and the right occipital lobe
146	JETS-5-344-g001	what does the ct scan of abdomen show?	amyand's hernia
147	JCDR-3-36-g002	what is the size of the para-aortic mass?	10 cm
148	1752-1947-5-337-1	what is the size (diameter) of the mass?	15 cm
149	iranjradiol-09-212-g003	what has infiltrated the underlying medial chest wall?	a large right breast mass
150	kjh-47-163-g010	what does contrast enhanced chest ct scan show?	enlarged lymph nodes in the anterior mediastinum
151	medi-94-e0962-g003	what does the sagittal mri image demonstrate (arrows)?	diffuse leptomeningeal enhancement
152	1749-799X-4-40-7	what does the MRI show?	hill sachs variant on head of the humerus
153	crn-0004-0107-g01	where does the diffusion weighted mri reveal a high signal intensity lesion?	right fronto-temporal cortex
154	crg0002-0356-f01	what does the ct scan show?	multiple liver metastases
155	rjv05002	what does the ct show?	intussusception
156	jkms-23-142-g001	what does the ct scan show?	low-attenuated pancreas
157	LI-30-148-g003	what does the ct scan show?	cavitary lesions in the left lung
158	OL-06-03-0655-g00	what does the magnetic resonance imaging show?	a circumscribed tumor in the uterus
159	rjt01101	what does axial ct scan show?	massive emphysema of the orbit
160	JETS-5-344-g001	what structure is seen in the hernia (arrow)?	inflamed appendix
161	crg-0009-0056-g01	what does ct scan show?	enlarged pancreas
162	SJA-7-347-g001	what does this chest ct show?	dextrocardia
163	1752-1947-5-451-3	what is this CT image of?	the patient's foot
164	JNSBM-3-90-g002	what does ct scan of brain show?	symmetric calcification in bilateral caudate nucleus, lentiform nucleus, and gangliocapsular region
165	PAMJ-17-217-g001	what does lumbar mri show?	a low-lying conus medullaris at s1
166	1752-1947-6-172-1	what does the magnetic resonance image show?	multiple ring-enhancing lesions
167	1757-2215-6-27-2	what kind of imaging scan is this?	Pelvic magnetic resonance imaging
168	1470-7330-14-21-4	what does this ct image demonstrate?	multiple calcifications in the left iliopsoas muscle
169	1476-0711-3-16-2	where does ct show the lesions?	in both lungs
170	1472-6815-6-3-1	what does the ct scan demonstrate?	a large soft tissue lesion pushing the larynx
171	DRJ-8-114-g004	what does the ct show?	a cystic mass in the submandibular space
172	rjv03501	what does the coronal ct image of the abdomen demonstrate?	pneumoperitoneum
173	cde0002-0110-f02	where are the poorly defined hypointense masses located (white arrows)?	bilateral periorbital bones
174	IJOEM-14-78-g002	what does the saggital mri brain show?	glioblastoma multiforme
175	IJPS-43-84-g003	what does magnetic resonance angiogram show?	stretching of the right external carotid artery
176	1757-1626-2-9341-2	is the lesion attached to adjacent bones?	no
177	IJU-27-137-g001	what does the mri show (white arrow)?	seminal vesicle
178	1471-2466-14-65-1	what does the ct scan reveal?	loculated pleural effusion at right lower lung zones
179	JCVJS-2-57-g002	at what level is the laminectomy defect?	second cervical vertebra
180	1471-2466-14-65-3	what does this ct demonstrate?	bronchiectasis and cystic changes at left upper lobe
181	IJNL-12-121-g001	what does the brain ct scan show?	cystic lesion
182	1757-1626-0002-0000008176-004	what does the ct show?	Perihilar lymphadenopathy
183	1752-1947-5-552-2	what anatomy is shown in the mri?	hand
184	gou017f2	what structure is calcified?	portal vein
185	13256_2014_3030_Fig3_HTML	what does the coronal section of magnetic resonance imaging show?	dislocation of the shoulder
186	ijcn-9-107-g001	who does brain mri flaire image show?	hyperintensities in basal ganglias
187	TOORTHJ-2-19_F1B	what does the magnetic resonance image show?	lesion in the patella
188	s12245-014-0040-5-2	where is the pleural effusion located?	right lung
189	40064_2015_1157_Fig2_HTML	what kind of ct image is this?	abdominal
190	pone.0104170.g004	what does Contrast enhanced CTA reveal (arrow)?	anterior cerebral artery aneurysm
191	AIAN-16-88-g001	what condition is seen in the basal cisterns?	hydrocephalus
192	2047-783X-18-7-1	what does the ct scan of the thorax show?	bilateral pleural effusion
193	cln-66-04-691-g003	what does the magnetic resonance imaging show?	enlarged seminal vesicles with lithiasis
194	IJRI-21-215-g002	what kind of ct scan view is this?	axial
195	JGID-7-122-g003	where does axial mri show a hyperintense cystic lesion?	in the left optic nerve
196	1752-1947-6-172-2	what condition do the lesions suggest?	Tuberculosis
197	JCIS-2-55-g004	what does the coronal contrast enhanced chest ct show (arrow)?	multilocular cyst in the thymus
198	1754-9493-5-2-5	what is the ct image suggestive of?	sacrolilitis
199	JNRP-3-95-g002	what does the contrast enhancement indicate?	cirsoid aneurysm
200	isd-41-107-g003	where is the tumor located?	lingual surface of mandibular
201	jsls-13-1-73-g01	what could the multiple hyperdense soft tissue nodules be?	peritoneal metastases
202	1757-1626-2-9325-1	what does the ct show (arrow)?	a mass in the left lumbar paraspinal region
203	1746-1596-8-134-1	what does chest ct scan reveal?	diffuse pleural thickening in both lungs
204	APC-4-68-g001	what is displaced by the anterior mediastinum?	the heart
205	1757-1626-2-9106-2	what does this ct image show?	an inflammatory process in the right iliac fossa
206	cancers-03-01253f2	what does the ct scan show ?	mass in the head of the pancreas
207	kjh-47-163-g012	what does the contrast enhanced pelvic ct scan show?	pelvic mass with erosion of left sacral bone
208	1752-1947-5-337-2	what is the large retroperitoneal mass displacing?	the left kidney and the spleen
209	kja-16-83-g002	what anatomical structure is show in the CT image?	Temporal bone
210	kjr-8-120-g004	what does the transverse CT image show?	ovarian carcinoma
211	SJA-7-347-g002	what organ is on the right side of the image?	Spleen
212	PAMJ-18-205-g001	what does the mri show?	fracture of the left femur
213	IJRI-20-195-g001	what anatomical structures show hyperintensity in this axial t2w mri of the brain?	dentate nuclei
214	1752-1947-3-9329-4	what does the magnetic resonance imaging of the brain show?	demyelination of the brain
215	rju10003	what does the ct axial view demonstrate ?	fracture of the body of the talus
216	tm-01-195-e002	in what structure are the lesions found?	liver
217	jkms-21-958-g004	does this mri scan show brainstem edema?	no
218	APC-4-68-g001	what does this ct scan show?	a pericardial cyst
219	medi-94-e540-g001	what does the ct image show the presence of?	an air bronchogram
220	JETS-8-119-g002	what does the ct image demonstrate?	calcification in the cervical vertebrae
221	1752-1947-1-21-1	what does mri of the heart show?	low signal density in the right atrial
222	IJRI-20-202-g001	what is the hyperintensity located?	from C3 to C7
223	0392-100X-30-313-g001	what does the axial section of the ct of the neck show?	a well defined soft tissue lesion
224	jkms-21-946-g002	what does the chest ct show?	pleural effusion
225	LI-26-95-g004	where does the CT scan of the chest show a crescent shaped lucency?	in the left upper lobe
226	IJNL-12-121-g001	where is the lesion located?	right cerebellum
227	PAMJ-12-12-g002	what does the brain mri flair show?	cyst with hyperintense signal
228	JIAPS-15-104-g001	where does the ct scan of the abdomen show the lesions?	upper abdomen
229	JNSBM-3-90-g003	what does the ct scan of brain show?	symmetric calcification in the dentate nuclei
230	rjt01101	what is the massive emphysema of the orbit leading to?	proptosis
231	1470-7330-14-21-5	what does ct without intravenous administration of contrast medium show?	hyperdense areas in the right iliopsoas muscle
232	IJRI-20-294-g002	what does the contrast-enhanced CT scan show?	a hazy right side of the greater omentum and displacement of bowel loops
233	NAJMS-4-520-g002	does the image show normal findings?	yes
234	cp-2013-1-e4-g001	what does cerebral magnetic resonance show?	hyperintensity of the globus pallidus
235	1752-1947-1-21-1	what does the low signal density represent?	metastasis
236	1749-7922-8-2-3	what does the ct scan show?	a right sided diaphragmatic hernia
237	crg-0006-0425-g01	what sign of bowel obstruction is seen in the image?	air-fluid levels
238	IJPD-23-121-g001	what does contrast enhanced ct scan show?	a mass in the right portion of the inferior abdomen and pelvis
239	JCHIMP-4-24811-g001	what do the axial ct and sagittal mri of the brain show?	diffuse cerebral atrophy
240	crg-0006-0260-g01	where is the pleural effusion located?	in the left pleural cavity
241	SNI-6-424-g002	what does the magnetic resonance imaging show?	abnormal signal intensity from c2 to c4
242	medi-94-e861-g002	what does the magnetic resonance imaging show (arrows)?	fluid collection
243	OL-06-03-0655-g00	where is the tumor located?	in the fundus of the uterus
244	cmo-2-2008-037f1a	what does this dynamic contrast enhanced breast mri demonstrate?	malignant type enhancement in the left upper outer breast
245	SAS-1-2007-0114-CR-g003	what does the MRI of the cervical spine show?	spinal stenosis with dural compression
246	1757-1626-1-84-1	what does the CT scan of pancreas demonstrate?	a mass in the tail of the pancreas
247	IJRI-23-287-g024	what does the Axial HRCT scan show?	bronchiectasis
248	AJNS-9-108-g003	which structure is displaced anteriorly by the cerebrospinal fluid?	the right eye globe
249	jls0041331610001	what is this CT scan of?	abdomen and pelvis
250	LI-29-280-g003	what does hrct scan thorax show?	bilateral lower lobe consolidation
251	1476-7120-8-33-2	what is revealed in the ct images?	a displaced descending aorta constricting the left atrium
252	IJEM-15-346-g002	what does ct thorax show?	soft tissue lesion in the region of thymus
253	SAS-1-2007-0114-CR-g002	what shows the sagittal mri show?	spinal stenosis
254	IJEM-16-304-g002	what anatomical structure is the tumor compressing?	optic chiasma
255	13104_2014_3305_Fig2_HTML	what does the contrast enhanced magnetic resonance imaging show?	bladder tumor with muscle invasion
256	IndianJOphthalmol-56-327-g002	does mri show venous infarction in the sagittal sinus?	no
257	jkms-21-958-g001	what does the t2 weighted sagittal mri show?	hyperintense lesions
258	can-7-289fig1	what organ is compressed by the mass?	the liver
259	jkms-21-946-g002	what does the chest ct show?	pneumonic consolidation and pulmonary edema
260	kjh-47-163-g011	what does enhanced abdominal ct scan show?	well defined mesenteric mass
261	IJPC-15-159-g001	does this image show midline shift?	yes
262	IJA-53-482-g001	what does the ct thorax show?	hyperlucency and over expansion of the left lung
263	jls0011127030001	what does the ct image reveal?	right sided spigelian hernia
264	can-7-289fig1	what does the abdominopelvic ct scan image show?	large oval-shaped heterogeneous mass
265	ymj-52-859-g001	what does the abdominal ct show (arrow)?	a flap in the proximal superior mesenteric artery
266	JNRP-6-286-g003	what does the axial mri t1 weighted image show?	seedling in the central canal of spinal cord
267	1477-7819-3-62-2	where is the lesion located?	pancreas
268	tm-02-36-e008	what does the MRI scan show?	meningioma
269	CCR-6-134_F2	what is the cardiac mri showing?	sarcoid infiltration
270	cro-0007-0065-g01	what structure is surrounded by the enlarged lesions?	the trachea
271	APC-4-68-g001	where is the pericardial cyst?	anterior mediastinum
272	IJMR-141-129-g001	what anatomical region is the liver abnormally extending to?	epigastric region
273	1752-1947-5-362-1	where is the lesion located?	middle lobe of the right lung
274	pntd.0003679.g008	what does the mri show?	dot-in-circle sign suggesting mycetoma lesions
275	jsls-13-1-73-g01	what does the ct scans of the abdomen and pelvis demonstrate?	multiple hyperdense soft tissue nodules
276	er-3-2-70-5f2	what abnormalities are show in the brain mri?	none
277	1752-1947-5-337-1	what does this abdominal ct image show?	a large left sided retroperitoneal mass
278	kjs-12-207-g003	what does the sagittal t2 weighed magnetic resonance image reveal?	hematoma
279	JPN-4-139-g002	what does the mri show?	lesions in bilaterally fronto-temporal lobes
280	1477-7819-8-74-2	what does the chest ct show?	mass in the right lung
281	AJNS-9-108-g003	what is associated with the abnormality of the temporal lobe?	cerebrospinal fluid leakage in the right orbital space
282	medi-94-e540-g001	what does the ct image show?	effacement of blood vessel shadows
283	AIAN-16-88-g001	what do the mri brain t1 and flair axial images show?	cystic lesions in right sylvian fissure
284	IJU-27-137-g002	what does the mri show?	a tumor, the right ureter and the urinary bladder
285	40792_2015_103_Fig1_HTML	what does a preoperative chest ct scan show?	the incisional biopsy scar of the right breast
286	1471-2466-14-65-1	what disease is demonstrated in this ct scan?	pulmonary tuberculosis
287	JCN-1-217-g005	what does the ct vrt image of newborn show?	cervical and lumbosacral spina bifida
288	crg-0006-0260-g01	what does the ct image show?	large pleural effusion
289	ABR-1-23-g001	what does the coronal sinus CT scan of paranasal sinuses show?	mucosal thickening of ethmoidal and maxillary sinuses
290	12957_2015_562_Fig4_HTML	what does the magnetic resonance imaging show?	intense enhancement of intravenous contrast with dye accumulation and washout in the right breast
291	1752-1947-5-342-3	what does the ct scan show?	intense tracer uptake
292	IJRI-23-258-g006	where is the collection located?	anterior to the uterus
293	SJA-7-347-g002	what is showing situs inversus?	abdominal ct
294	JIAPS-17-180-g001	what does ct scan show?	bowel loops
295	JIAPS-17-180-g001	Are the bowels found in the right hemithorax?	no
296	rju09202	Is this a ct contrast image?	yes
297	cop0002-0343-f02	what is the lesion in the dorsal pons?	calcification
298	abd-90-03-s1-0162-g02	what is the peripheral nodule located?	left lower lung zone
299	asj-9-621-g002	what does magnetic resonance imaging show at the upper cervical level?	spinal canal stenosis
300	IndianJOphthalmol-56-327-g002	is there a mass in this mri scan?	no
301	1746-160X-2-28-1	what is the preoperative ct scan demonstrating?	opacified left maxillary sinus
302	1752-1947-7-178-2	what does the axial t2-weighted image demonstrate (white arrow)?	tumor in the left facet joint of the thoracic vertebra
303	bmjopen2013004065f01	what does the contrast enhanced chest ct show?	hilar and mediastinal adenopathy
304	40064_2015_1157_Fig2_HTML	what does the abdominal ct show?	intussusception
305	rju14602	what does the ct show?	large tumor
306	12887_2015_356_Fig3_HTML	where is the mass located?	left occipital region
307	practneurol-2015-001087f06	is the lesion visible in all the mri images?	no
308	IJEM-17-111-g003	where is the lesion with contrast uptake located?	basal ganglia
309	IJRI-21-176-g003	where does the axial contrast-enhanced CT scan show the enhancing mass?	the duodenum
310	NAJMS-2-238-g001	what does the enhanced ct scan show?	bilateral enlarged polycystic kidneys
311	ic-46-261-g001	what does the ct abdomen show?	fluid collection
312	isd-41-107-g003	what does the axial ct image show?	osteoma
313	ccrep-2-2009-001f1	what do the ct images of the abdomen show?	an exophytic mass projecting from the right kidney
314	JETS-4-135-g001	what does the ct scan demonstrate?	a cecal mass
315	JNRP-6-105-g004	do the axial ct angiogram reveal any arteriovenous malformation?	no
316	1477-7819-6-50-1	what do the CT images demonstrate?	large intra-abdominal mass
317	IJRI-23-287-g024	what kind of ct scan view is this?	axial
318	rt-2013-3-e33-g003	where is the lesion located in the mri image?	in the meta-diaphysial area
319	PAMJ-18-205-g001	what type of image is this?	mri of the  hip and thigh
320	TOORTHJ-8-148_F3	what does the reconstruction of the ct demonstrate?	multiple fractures
321	IJRI-23-287-g024	where are the areas of hypoattenuation visible?	In both lungs
322	13256_2014_3030_Fig3_HTML	are the rotator cuff muscles still intact?	yes
323	IJRI-22-298-g018	what does axial ct and mri t1 weighted image show (arrows)?	soft tissue lesion in the petrous apex
324	1752-1947-3-92-1	what views of mri images of cervical spine are these?	axial and sagittal
325	1752-1947-6-172-2	what does the Magnetic resonance image show?	multiple ring-enhancing lesions
326	AJNS-9-48-g001	what does the mri of the brain show?	lesion involving the clivus
327	FVVinObGyn-3-135-149-g008	what kind of MRI view is this?	midsagittal
328	CEJU-67-00409-g004	what does the ct show?	left lumbar incisional hernia
329	kjae-58-197-g002	where does the chest ct scan show?	dilatation of the trachea
330	JPN-5-1-g004	where does the mri axial view show a neurofibroma?	left infra temporal fossa
331	1752-1947-5-137-2	what does the t2 sagittal mri show?	multiple subcortical white matter lesions
332	IJRI-20-135-g003	In this image, the small, tortuous cystic duct connects to which structures?	gall bladder and the bile duct
333	1749-799X-5-70-1	what does the ct scan show?	right psoas muscle hypertrophy
334	1757-1626-0002-0000008585-005	what does the ct show?	thickness of the anterior part of the bladder
335	2049-6958-8-5-1	what does chest ct scan show?	lung nodules in all lobes
336	JPN-5-1-g005	what does the ct angiogram demonstrate?	normal vascular anatomy
337	tm-01-195-e002	what does the magnetic resonance cholangiography show?	diffuse intrahepatic lesions
338	1752-1947-3-92-1	what do the axial and sagittal t2-weighted images of cervical spine show?	Osteolysis of C7
339	1476-0711-3-16-2	what does the ct show?	cavitary lesions
340	JPN-5-59-g012	where is the non-neoplastic hamartomatous lesion located?	left basal ganglia
341	kjim-18-1-45-8f2	is there a metastatic lesion visible?	no
342	JMedLife-04-189-g004	what do the 3d ct images show?	coarctation of the thoracic aorta 
343	IDOJ-4-43-g004	where does the mri show small fluid collection?	near the right ischial tuberosity
344	1752-1947-5-142-3	what does the mri of the brain show?	fat embolism
345	1757-1626-2-9325-2	where is the mass located?	at the level of the fifth lumbar vertebra
346	1749-8090-9-39-1	where does the ct angiography show small emboli?	in the right pulmonary artery
347	SNI-6-424-g003	what does the magnetic resonance imaging show?	hemorrhage
348	1750-1172-4-18-5	what does the ct scan show?	bilateral pleural effusion
349	JPN-5-1-g004	what does the mri axial view show?	neurofibroma
350	IJSTD-32-44-g001	where are the lesions in the MRI located?	left thalamus, internal capsule, right side of the pons and basal ganglia
351	1824-7288-40-35-1	what does the ct scan of the thorax show?	bilateral diffuse interstitial infiltration
352	JPN-6-152-g001	what does the mid sagittal mri show?	mass in the fourth ventricle
